stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Feist,79,226,0.60023,0.59731,.5-1 y,2.433333333,No,0.6187542778918549
Pentatonix,79,226,0.60949,0.64914,.5-1 y,2.433333333,No,0.6187542778918549
Feist,80,922,0.57058,0.61829,2-4 y,1.464285714,No,2.524298425735797
Pentatonix,80,922,0.57691,0.6911,2-4 y,1.464285714,No,2.524298425735797
Science,80,922,0.62876,0.60512,2-4 y,1.464285714,No,2.524298425735797
Plane,80,922,0.57475,0.59922,2-4 y,1.464285714,No,2.524298425735797
Dogs,80,922,0.56517,0.5742,2-4 y,1.464285714,No,2.524298425735797
Feist,81,285,0.61159,0.58766,.5-1 y,1.933333333,No,0.7802874743326489
Pentatonix,81,285,0.58287,0.48083,.5-1 y,1.933333333,Yes,0.7802874743326489
Plane,81,285,0.53034,0.54342,.5-1 y,1.933333333,No,0.7802874743326489
Dogs,81,285,0.56804,0.56273,.5-1 y,1.933333333,No,0.7802874743326489
Feist,82,240,0.6251,0.66276,.5-1 y,2.141666667,No,0.6570841889117043
Pentatonix,82,240,0.55984,0.53584,.5-1 y,2.141666667,No,0.6570841889117043
Science,82,240,0.73083,0.80419,.5-1 y,2.141666667,No,0.6570841889117043
Plane,82,240,0.62366,0.62543,.5-1 y,2.141666667,No,0.6570841889117043
Dogs,82,240,0.58758,0.46164,.5-1 y,2.141666667,No,0.6570841889117043
Feist,83,886,0.55798,0.63986,2-4 y,1.864285714,Yes,2.425735797399042
Pentatonix,83,886,0.51111,0.60493,2-4 y,1.864285714,Yes,2.425735797399042
Science,83,886,0.39669,0.48342,2-4 y,1.864285714,No,2.425735797399042
Plane,83,886,0.48389,0.45750999999999997,2-4 y,1.864285714,No,2.425735797399042
Dogs,83,886,0.55427,0.55365,2-4 y,1.864285714,No,2.425735797399042
Feist,84,1757,0.57606,0.7711,4-6 y,2.635714286,Yes,4.810403832991102
Pentatonix,84,1757,0.54066,0.63486,4-6 y,2.635714286,No,4.810403832991102
Science,84,1757,0.65263,0.64523,4-6 y,2.635714286,No,4.810403832991102
Plane,84,1757,0.58816,0.57367,4-6 y,2.635714286,No,4.810403832991102
Dogs,84,1757,0.55541,0.5809,4-6 y,2.635714286,No,4.810403832991102
Feist,85,958,0.57967,0.68111,2-4 y,1.692857143,No,2.622861054072553
Pentatonix,85,958,0.54619,0.63402,2-4 y,1.692857143,No,2.622861054072553
Science,85,958,0.61108,0.66306,2-4 y,1.692857143,No,2.622861054072553
Plane,85,958,0.5791,0.56967,2-4 y,1.692857143,No,2.622861054072553
Dogs,85,958,0.59342,0.6288,2-4 y,1.692857143,No,2.622861054072553
Feist,86,631,0.59365,0.54505,1.5-2 y,1.871428571,No,1.727583846680356
Pentatonix,86,631,0.53096,0.6071,1.5-2 y,1.871428571,No,1.727583846680356
Science,86,631,0.72064,0.56972,1.5-2 y,1.871428571,No,1.727583846680356
Plane,86,631,0.4151,0.48513,1.5-2 y,1.871428571,No,1.727583846680356
